year,palette_id,palette_name,count,percentage
2012,031,Burnt Sienna,75,4.643962848297214
2012,035,Teal,1,0.06191950464396285
2012,036,Lavender,7,0.43343653250773995
2012,037,Olive,1,0.06191950464396285
2012,038,Maroon,10,0.6191950464396285
2012,040,Gold,4,0.2476780185758514
2013,001,Plum Mouse Gray,248,14.41022661243463
2013,002,Shrimp Brown,61,3.544450900639163
2013,003,Fukagawa Mouse Gray,61,3.544450900639163
2013,004,Cherry Mouse Gray,156,9.06449738524114
2013,005,Indigo Mouse Gray,163,9.4712376525276
2013,006,Willow Mouse Gray,3,0.17431725740848344
2013,007,Nightingale Brown,94,5.461940732132481
2013,008,Seaweed Brown,21,1.220220801859384
2013,009,Navy Blue,50,2.905287623474724
2013,010,Crimson,13,0.7553747821034282
2013,011,Nightingale Green,4,0.23242300987797793
2013,012,Siskin Brown,3,0.17431725740848344
2013,014,Azuki Bean Red,5,0.2905287623474724
2013,016,Mustard,3,0.17431725740848344
2013,017,Peony Pink,3,0.17431725740848344
2013,020,Peach,2,0.11621150493898896
2013,024,Crimson Red,8,0.46484601975595585
2013,025,Purple,3,0.17431725740848344
2013,026,Mouse Gray,211,12.260313771063336
2013,027,Ink Black,506,29.401510749564206
2013,030,Cherry Blossom Pink,5,0.2905287623474724
2013,031,Burnt Sienna,80,4.648460197559558
2013,034,Coral,3,0.17431725740848344
2013,035,Teal,4,0.23242300987797793
2013,036,Lavender,3,0.17431725740848344
2013,037,Olive,1,0.05810575246949448
2013,038,Maroon,7,0.40674026728646134
2014,001,Plum Mouse Gray,293,16.685649202733487
2014,002,Shrimp Brown,62,3.530751708428246
2014,003,Fukagawa Mouse Gray,55,3.132118451025057
2014,004,Cherry Mouse Gray,160,9.111617312072893
2014,005,Indigo Mouse Gray,152,8.656036446469248
2014,006,Willow Mouse Gray,5,0.2847380410022779
2014,007,Nightingale Brown,108,6.150341685649202
2014,008,Seaweed Brown,28,1.5945330296127562
2014,009,Navy Blue,33,1.8792710706150342
2014,010,Crimson,8,0.45558086560364464
2014,011,Nightingale Green,6,0.3416856492027335
2014,012,Siskin Brown,4,0.22779043280182232
2014,014,Azuki Bean Red,4,0.22779043280182232
2014,017,Peony Pink,3,0.17084282460136674
2014,018,Blue-Green,1,0.05694760820045558
2014,021,Dayflower Blue,1,0.05694760820045558
2014,024,Crimson Red,4,0.22779043280182232
2014,025,Purple,4,0.22779043280182232
2014,026,Mouse Gray,219,12.471526195899772
2014,027,Ink Black,529,30.125284738041003
2014,030,Cherry Blossom Pink,2,0.11389521640091116
2014,031,Burnt Sienna,61,3.4738041002277904
2014,034,Coral,1,0.05694760820045558
2014,035,Teal,2,0.11389521640091116
2014,038,Maroon,8,0.45558086560364464
2014,040,Gold,3,0.17084282460136674
2015,001,Plum Mouse Gray,335,16.42156862745098
2015,002,Shrimp Brown,72,3.5294117647058822
2015,003,Fukagawa Mouse Gray,61,2.9901960784313726
2015,004,Cherry Mouse Gray,148,7.254901960784314
2015,005,Indigo Mouse Gray,177,8.676470588235293
2015,006,Willow Mouse Gray,8,0.39215686274509803
2015,007,Nightingale Brown,125,6.127450980392157
2015,008,Seaweed Brown,22,1.0784313725490196
2015,009,Navy Blue,32,1.5686274509803921
2015,010,Crimson,15,0.7352941176470589
2015,011,Nightingale Green,13,0.6372549019607843
2015,014,Azuki Bean Red,7,0.3431372549019608
2015,015,Water Blue,2,0.09803921568627451
2015,016,Mustard,2,0.09803921568627451
2015,017,Peony Pink,2,0.09803921568627451
2015,018,Blue-Green,2,0.09803921568627451
2015,019,Yamabuki Yellow,1,0.049019607843137254
2015,020,Peach,3,0.14705882352941177
2015,021,Dayflower Blue,1,0.049019607843137254
2015,024,Crimson Red,8,0.39215686274509803
2015,025,Purple,3,0.14705882352941177
2015,026,Mouse Gray,219,10.735294117647058
2015,027,Ink Black,658,32.254901960784316
2015,028,Pale Blue-Green,1,0.049019607843137254
2015,030,Cherry Blossom Pink,1,0.049019607843137254
2015,031,Burnt Sienna,110,5.392156862745098
2015,034,Coral,1,0.049019607843137254
2015,036,Lavender,1,0.049019607843137254
2015,038,Maroon,10,0.49019607843137253
2016,001,Plum Mouse Gray,533,15.924708694353152
2016,002,Shrimp Brown,134,4.003585300268898
2016,003,Fukagawa Mouse Gray,109,3.2566477442485806
2016,004,Cherry Mouse Gray,294,8.783985658798924
2016,005,Indigo Mouse Gray,345,10.307738273080371
2016,006,Willow Mouse Gray,1,0.02987750224081267
2016,007,Nightingale Brown,200,5.975500448162534
2016,008,Seaweed Brown,61,1.8225276366895728
2016,009,Navy Blue,110,3.2865252464893935
2016,010,Crimson,14,0.41828503137137735
2016,011,Nightingale Green,25,0.7469375560203168
2016,012,Siskin Brown,1,0.02987750224081267
2016,013,Celadon,1,0.02987750224081267
2016,014,Azuki Bean Red,21,0.627427547057066
2016,015,Water Blue,1,0.02987750224081267
2016,016,Mustard,8,0.23902001792650135
2016,020,Peach,3,0.089632506722438
2016,021,Dayflower Blue,1,0.02987750224081267
2016,024,Crimson Red,4,0.11951000896325067
2016,025,Purple,5,0.14938751120406335
2016,026,Mouse Gray,378,11.29369584702719
2016,027,Ink Black,927,27.696444577233343
2016,028,Pale Blue-Green,2,0.05975500448162534
2016,030,Cherry Blossom Pink,2,0.05975500448162534
2016,031,Burnt Sienna,138,4.1230953092321485
2016,034,Coral,2,0.05975500448162534
2016,035,Teal,2,0.05975500448162534
2016,036,Lavender,1,0.02987750224081267
2016,037,Olive,3,0.089632506722438
2016,038,Maroon,17,0.5079175380938153
2016,040,Gold,4,0.11951000896325067
2017,001,Plum Mouse Gray,373,17.429906542056074
2017,002,Shrimp Brown,82,3.8317757009345796
2017,003,Fukagawa Mouse Gray,45,2.102803738317757
2017,004,Cherry Mouse Gray,145,6.775700934579439
2017,005,Indigo Mouse Gray,245,11.448598130841122
2017,006,Willow Mouse Gray,4,0.18691588785046728
2017,007,Nightingale Brown,127,5.934579439252336
2017,008,Seaweed Brown,39,1.8224299065420562
2017,009,Navy Blue,38,1.7757009345794392
2017,010,Crimson,14,0.6542056074766355
2017,011,Nightingale Green,8,0.37383177570093457
2017,012,Siskin Brown,3,0.14018691588785046
2017,014,Azuki Bean Red,8,0.37383177570093457
2017,015,Water Blue,1,0.04672897196261682
2017,017,Peony Pink,2,0.09345794392523364
2017,021,Dayflower Blue,1,0.04672897196261682
2017,024,Crimson Red,8,0.37383177570093457
2017,025,Purple,2,0.09345794392523364
2017,026,Mouse Gray,244,11.401869158878505
2017,027,Ink Black,655,30.60747663551402
2017,030,Cherry Blossom Pink,2,0.09345794392523364
2017,031,Burnt Sienna,78,3.6448598130841123
2017,033,Forest Green,1,0.04672897196261682
2017,034,Coral,1,0.04672897196261682
2017,036,Lavender,3,0.14018691588785046
2017,038,Maroon,10,0.4672897196261682
2017,040,Gold,1,0.04672897196261682
2018,001,Plum Mouse Gray,121,14.35349940688019
2018,002,Shrimp Brown,33,3.9145907473309607
2018,003,Fukagawa Mouse Gray,32,3.795966785290629
